,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
China,3070.51,3134.11,3236.28,3153.66,3346.53,3529.08,3796.16,4424.41,5113.22,5824.63,6437.47,6993.18,7199.60,7719.07,8474.92,9282.55,9540.54,9979.13,10021.04,9859.28,9860.91,10089.27,10567.26,10762.82,10944.69
USA,5273.49,5543.35,5590.54,5609.02,5775.81,5748.26,5593.02,5658.99,5738.29,5753.49,5653.08,5736.32,5558.38,5156.42,5392.11,5173.59,4956.05,5092.10,5107.21,4990.70,4894.50,4819.37,4975.30,4817.71,4320.53
India,774.07,819.27,836.27,901.33,937.86,953.54,985.45,1011.77,1085.67,1136.47,1215.21,1336.74,1424.38,1564.88,1659.98,1756.74,1909.44,1972.43,2147.11,2158.02,2195.25,2308.80,2458.18,2423.95,2200.84
Russian Federation,1601.18,1489.51,1487.97,1523.72,1563.85,1567.17,1565.33,1610.00,1600.98,1611.98,1654.85,1658.15,1655.19,1546.67,1617.83,1699.08,1675.76,1632.68,1611.96,1592.56,1571.52,1594.55,1661.00,1703.59,1618.27
Japan,1184.65,1172.60,1130.28,1168.95,1184.42,1172.34,1206.76,1213.93,1207.29,1215.47,1193.04,1227.99,1158.84,1102.39,1157.24,1213.78,1254.32,1267.38,1217.31,1178.35,1164.87,1150.84,1111.12,1073.65,1014.06
Iran,279.81,292.40,291.00,323.36,340.46,354.07,369.88,389.78,417.66,450.80,484.18,514.14,523.05,542.30,541.17,552.05,559.12,583.70,605.36,599.18,607.22,626.43,637.43,625.25,616.56
Germany,904.34,872.65,865.25,833.59,830.28,847.68,833.38,836.79,821.07,802.38,814.41,783.80,789.69,734.81,773.07,746.48,760.13,776.15,736.01,742.31,747.15,732.20,707.77,658.69,603.35
South Korea,409.99,431.64,366.57,401.88,447.24,456.67,461.00,463.91,485.91,481.00,487.85,503.69,514.92,526.64,575.22,598.48,600.32,599.60,588.09,607.83,615.44,626.18,630.19,612.13,569.68
Saudi Arabia,217.65,220.07,233.90,239.52,249.65,254.08,272.25,284.83,299.89,315.29,335.43,354.62,389.71,406.53,446.13,463.76,492.47,503.21,540.52,565.19,561.23,549.75,527.57,526.77,513.56
Indonesia,236.72,261.16,262.71,279.48,280.64,302.06,305.63,333.88,341.24,342.15,364.47,379.96,376.14,391.08,415.54,475.80,481.79,448.40,484.64,489.05,483.98,515.40,568.01,605.29,563.20
